"Type","Buy","Cur.","Sell","Cur.","Exchange","Comment","Date"
"Trade","21.20800000","VXVS","999.99100000","USDT","","","2021-02-15"
"Trade","0.88103506","DAI","0.00521438","ZEC","Coinbase","","2021-02-15"
"Trade","4.20000000","LINK","2500.00000000","DOGE","","","2021-02-15"
"Trade","1.00000000","BTC","20000.00000000","PLN","","","2021-02-15"
"Trade","0.04307000","BTC","191.00000000","USDT","47000","","2021-02-15"
"Withdrawal","","","8000000.00000000","STON","Caixa","","2021-02-15"
"Deposit","0.01583263","BTC","","","Wallet","from ShakePay","2021-02-15"
"Deposit","0.43990309","ETH","","","Wallet","from ShakePay","2021-02-15"
"Trade","55.78542906","LTC","12395.30000000","USD","","","2021-02-15"
"Deposit","0.05217800","BTC","","","binance","$2432.44  46618/btc","2021-02-15"
"Trade","100.00000000","XLM","337.00000000","XRP","","","2021-02-14"
"Trade","114.54000000","XLM","0.00000000","EUR","","","2021-02-14"
"Trade","114.54000000","XLM","0.00000000","0","","","2021-02-14"
"Trade","28.47000000","DOT","755.00000000","USD","Binance","","2021-02-14"
"Deposit","1.80000000","DOT","","","","","2021-02-14"
"Deposit","0.21148543","LTC","","","","","2021-02-14"
"Trade","2.00000000","XRP","2.00000000","BTC","","","2021-02-14"
"Withdrawal","","","102.50000000","LSK","Bittrex","","2021-02-14"
"Deposit","997.00000000","EUR","","","Binance","","2021-02-14"
"Income","0.10000000","BTC","","","","","2021-02-14"
"Deposit","520.00000000","ADA","","","Binance","","2021-02-14"
"Trade","1512.00000000","COTI","258.22000000","STX2","Mit Sven","","2021-02-14"
"Deposit","0.00019890","BTC","","","","","2021-02-13"
"Trade","500.00000000","LINK","100.00000000","EUR","Bitpanda","","2021-02-13"
"Trade","454.00000000","REEF","23.29791800","USDT","binance","","2021-02-13"
"Trade","100.00000000","MIOTA","100.00000000","EUR","coinmerce","","2021-02-13"
"Deposit","10.00000000","EUR","","","","Ausgleich EURO-Wert in Wallet (340 EUR vs. 350 EUR)","2021-02-11"
"Deposit","4506.37446400","ADA","","","","","2021-02-11"
"Trade","1.00000000","BTC","45000.00000000","EUR","","","2021-02-11"
"Trade","600000.00000000","EUR","1.00000000","BTC","","","2021-02-11"
"Withdrawal","","","600000.00000000","EUR","bitstamp -> wa","","2021-02-11"
"Trade","430.00000000","EURO","1000.00000000","XRP","","","2021-02-11"
"Trade","200.00000000","DOGE","300.00000000","GPD","","","2021-02-11"
"Trade","0.00052919","BTC","25.00000000","USD","","","2021-02-11"
"Airdrop","20.00000000","BTC","","","","","2021-02-10"
"Trade","688876.98766000","BITSH","20.00000000","USDT","BNB","","2021-02-10"
"Deposit","900.00000000","EURO","","","","","2021-02-10"
"Trade","0.01161287","BTC","702.89000000","CAD","","","2021-02-10"
"Trade","0.00614351","BTC","145.50000000","CAD","","","2021-02-10"
"Trade","0.00870685","BTC","195.00000000","CAD","","","2021-02-10"
"Trade","0.00893454","BTC","195.00000000","CAD","","","2021-02-10"
"Deposit","34.97000000","1INCH","","","Binance US","","2021-02-10"
"Deposit","0.91000000","ADA","","","Binance US","","2021-02-10"
"Deposit","0.37300000","ATOM2","","","Binance US","","2021-02-10"
"Deposit","94.86000000","BEL","","","Binance US","","2021-02-10"
"Deposit","7.60000000","BLZ","","","Binance US","","2021-02-10"
"Deposit","3.42746927","BNB","","","Binance US","","2021-02-10"
"Deposit","302.24942848","BUSD","","","Binance US","","2021-02-10"
"Deposit","2360.00000000","CHZ","","","Binance US","","2021-02-10"
"Deposit","0.05366730","COMP","","","Binance US","","2021-02-10"
"Deposit","35.33640000","DODGE","","","Binance US","","2021-02-10"
"Deposit","0.00000000","EGLD","","","Binance US","","2021-02-10"
"Deposit","3.71082800","HNT","","","Binance US","","2021-02-10"
"Deposit","297.88000000","IOT","","","Binance US","","2021-02-10"
"Deposit","7.50500000","LINK","","","Binance US","","2021-02-10"
"Deposit","4.81310000","MATIC","","","Binance US","","2021-02-10"
"Deposit","0.00371000","MKR","","","Binance US","","2021-02-10"
"Deposit","0.03780000","OMG","","","Binance US","","2021-02-10"
"Deposit","28.01244000","ONE2","","","Binance US","","2021-02-10"
"Deposit","4.45250000","RUNE","","","Binance US","","2021-02-10"
"Deposit","1489.00000000","SKL","","","Binance US","","2021-02-10"
"Deposit","0.03026200","SOL2","","","Binance US","","2021-02-10"
"Deposit","41.13000000","SRM","","","Binance US","","2021-02-10"
"Deposit","108.99000000","STORJ","","","Binance US","","2021-02-10"
"Deposit","1814.20000000","TRX","","","Binance US","","2021-02-10"
"Deposit","0.02156400","UNI2","","","Binance US","","2021-02-10"
"Deposit","2.90000000","ADX","","","Binance US","","2021-02-10"
"Deposit","299.70000000","AGI","","","Binance US","","2021-02-10"
"Deposit","2.49750000","ANT","","","Binance US","","2021-02-10"
"Deposit","0.98500000","BZRX","","","Binance US","","2021-02-10"
"Deposit","7.22000000","CRV","","","Binance US","","2021-02-10"
"Deposit","9.67890000","CVC","","","Binance US","","2021-02-10"
"Deposit","19.50000000","DLT","","","Binance US","","2021-02-10"
"Deposit","0.24301000","FIL","","","Binance US","","2021-02-10"
"Deposit","35.28000000","FLM","","","Binance US","","2021-02-10"
"Deposit","99.90000000","HIVE","","","Binance US","","2021-02-10"
"Deposit","180492.34000000","IDRT","","","Binance US","","2021-02-10"
"Deposit","14.74500000","JST","","","Binance US","","2021-02-10"
"Deposit","0.00890000","KSM","","","Binance US","","2021-02-10"
"Deposit","5.00000000","LRC","","","Binance US","","2021-02-10"
"Deposit","4.75000000","POA","","","Binance US","","2021-02-10"
"Deposit","0.09700000","SNX","","","Binance US","","2021-02-10"
"Deposit","99.90000000","STEEM","","","Binance US","","2021-02-10"
"Deposit","3.43640000","SUSHI","","","Binance US","","2021-02-10"
"Deposit","8.90000000","TFUEL","","","Binance US","","2021-02-10"
"Deposit","3.40000000","THETA","","","Binance US","","2021-02-10"
"Deposit","0.25000000","UNFI","","","Binance US","","2021-02-10"
"Deposit","22.00000000","VIBE","","","Binance US","","2021-02-10"
"Deposit","0.00250000","WING2","","","Binance US","","2021-02-10"
"Deposit","0.00059450","YFI","","","Binance US","","2021-02-10"
"Deposit","0.00430405","YFII","","","Binance US","","2021-02-10"
"Deposit","108.99000000","STORJ","","","Binance US","","2021-02-09"
"Deposit","0.02156400","UNI2","","","Binance US","","2021-02-09"
"Trade","720.03958682","USD","720.03958682","USDT","Binance US","","2021-02-09"
"Deposit","14.22000000","ZRX","","","Binance US","","2021-02-09"
"Deposit","24.59348788","XTZ","","","Binance US","","2021-02-09"
"Trade","0.00176000","BTC","82.28000000","USD","","","2021-02-09"
"Trade","3.10000000","DOT","50.00000000","GBP","","","2021-02-09"
"Trade","6523.30000000","MATIC","500.00000000","EUR","Binance 2","","2021-02-09"
"Deposit","4.53536000","DOT","","","Exodus","from Binance","2021-02-08"
"Deposit","0.05370700","BTC","","","Binance","","2021-02-08"
"Trade","0.00571700","BTC","0.00000000","BTC","","","2021-02-08"
"Deposit","0.05440900","BTC","","","","","2021-02-08"
"Gift/Tip","0.03882773","LTC","","","Thomas","","2021-02-06"
"Gift/Tip","0.00020288","BTC","","","Thomas","","2021-02-06"
"Trade","0.60710000","LTC","80.00000000","EUR","Thomas","","2021-02-06"
"Trade","0.20690000","BCH","80.00000000","EUR","Thomas","","2021-02-06"
"Trade","2578.64800000","DGB","80.00000000","EUR","Thomas","","2021-02-06"
"Trade","216.37000000","XRP","80.00000000","EUR","Thomas","","2021-02-06"
"Trade","0.00000000","ETH","0.06925793","ETH","","","2021-02-06"
"Trade","276.02183250","XLM","0.05672801","ETH","BINANCE","","2021-02-06"
"Deposit","1.89936205","ETH","","","Wallet","from ShakePay","2021-02-06"
"Deposit","6.93406307","ETH","","","Metamask","Manual","2021-02-06"
"Trade","84.22200000","USDT","0.05000000","ETH","","","2021-02-06"
"Trade","214.88000000","OXT","84.14700000","USDT","","","2021-02-06"
"Deposit","3074.00000000","DOGE","","","Binance","","2021-02-06"
"Trade","5500.00000000","USD","11.83000000","AAVE","","","2021-02-06"
"Trade","1.16200000","BNB","0.16000000","USDT","","","2021-02-06"
"Trade","4.92464043","ETH","0.00000000","EUR","","","2021-02-06"
"Trade","1.00000000","ETH","0.00000000","ETH","","","2021-02-06"
"Trade","63.00000000","XRP","106.00000000","PLN","","","2021-02-05"
"Airdrop","4.02046274","BNB","","","Binance","","2021-02-05"
"Staking","0.01822341","SXP","","","Binance","","2021-02-05"
"Airdrop","1552.44585734","REEF","","","Binance","","2021-02-05"
"Deposit","3661.24616700","USDC","","","Celsius","from sale 2.1544 ETH","2021-02-05"
"Trade","3667.24616700","USDC","2.15440000","ETH","Crypto.com","ETH -> USDC buy 3670.246167","2021-02-05"
"Trade","121.00000000","ALGO","99.50000000","USD","Coinbase","Purchased with $100 transfer from USAA","2021-02-05"
"Trade","0.00000000","USDT","100.00000000","ADA","","","2021-02-05"
"Trade","300.00000000","USDT","3727.00000000","ZIL","","","2021-02-05"
"Trade","0.80000000","AAVE","0.00000000","0","kucoin BOT","","2021-02-04"
"Airdrop","2.00000000","BCH","","","","","2021-02-04"
"Deposit","561.95683400","PHA","","","","","2021-02-04"
"Deposit","6457.17975400","EDG2","","","","","2021-02-04"
"Deposit","110.90118800","POLS","","","","","2021-02-04"
"Deposit","10.22151600","CRU","","","","","2021-02-04"
"Deposit","1253.10676400","RFUEL","","","","","2021-02-04"
"Deposit","27.24440200","API3","","","","","2021-02-04"
"Deposit","26.42404600","MIR2","","","","","2021-02-04"
"Deposit","13.66361800","RARI","","","","","2021-02-04"
"Deposit","2.45108800","BADGER","","","","","2021-02-04"
"Trade","125.84617100","USDC","2500.00000000","DOGE","Crypto.com","DOGE -> USDC","2021-02-04"
